DATE,Per_Capita_GDP
1/1/47,15248
4/1/47,15139
7/1/47,15039
10/1/47,15204
1/1/48,15371
4/1/48,15563
7/1/48,15585
10/1/48,15530
1/1/49,15250
4/1/49,15137
7/1/49,15228
10/1/49,15032
1/1/50,15559
4/1/50,15977
7/1/50,16524
10/1/50,16764
1/1/51,16922
4/1/51,17147
7/1/51,17420
10/1/51,17375
1/1/52,17490
4/1/52,17459
7/1/52,17509
10/1/52,18001
1/1/53,18268
4/1/53,18341
7/1/53,18155
10/1/53,17797
1/1/54,17636
4/1/54,17584
7/1/54,17701
10/1/54,17960
1/1/55,18396
4/1/55,18621
7/1/55,18787
10/1/55,18808
1/1/56,18658
4/1/56,18736
7/1/56,18632
10/1/56,18845
1/1/57,18881
4/1/57,18763
7/1/57,18862
10/1/57,18582
1/1/58,18032
4/1/58,18081
7/1/58,18419
10/1/58,18764
1/1/59,19041
4/1/59,19395
7/1/59,19326
10/1/59,19296
1/1/60,19614
4/1/60,19392
7/1/60,19390
10/1/60,19065
1/1/61,19130
4/1/61,19380
7/1/61,19670
10/1/61,19970
1/1/62,20254
4/1/62,20366
7/1/62,20536
10/1/62,20521
1/1/63,20677
4/1/63,20842
7/1/63,21219
10/1/63,21276
1/1/64,21657
4/1/64,21824
7/1/64,22085
10/1/64,22075
1/1/65,22547
4/1/65,22770
7/1/65,23198
10/1/65,23656
1/1/66,24172
4/1/66,24191
7/1/66,24321
10/1/66,24446
1/1/67,24602
4/1/67,24556
7/1/67,24719
10/1/67,24836
1/1/68,25288
4/1/68,25652
7/1/68,25781
10/1/68,25813
1/1/69,26162
4/1/69,26181
7/1/69,26281
10/1/69,26076
1/1/70,25973
4/1/70,25929
7/1/70,26079
10/1/70,25710
1/1/71,26328
4/1/71,26394
7/1/71,26529
10/1/71,26510
1/1/72,26932
4/1/72,27478
7/1/72,27666
10/1/72,28055
1/1/73,28687
4/1/73,28935
7/1/73,28711
10/1/73,28913
1/1/74,28606
4/1/74,28613
7/1/74,28270
10/1/74,28088
1/1/75,27690
4/1/75,27821
7/1/75,28214
10/1/75,28520
1/1/76,29099
4/1/76,29250
7/1/76,29335
10/1/76,29469
1/1/77,29749
4/1/77,30254
7/1/77,30713
10/1/77,30626
1/1/78,30653
4/1/78,31757
7/1/78,31982
10/1/78,32318
1/1/79,32294
4/1/79,32244
7/1/79,32386
10/1/79,32366
1/1/80,32377
4/1/80,31621
7/1/80,31489
10/1/80,31990
1/1/81,32550
4/1/81,32236
7/1/81,32533
10/1/81,32095
1/1/82,31529
4/1/82,31603
7/1/82,31402
10/1/82,31337
1/1/83,31686
4/1/83,32340
7/1/83,32906
10/1/83,33513
1/1/84,34103
4/1/84,34622
7/1/84,34871
10/1/84,35072
1/1/85,35346
4/1/85,35582
7/1/85,36033
10/1/85,36210
1/1/86,36476
4/1/86,36563
7/1/86,36822
10/1/86,36931
1/1/87,37132
4/1/87,37454
7/1/87,37685
10/1/87,38238
1/1/88,38359
4/1/88,38782
7/1/88,38908
10/1/88,39328
1/1/89,39648
4/1/89,39861
7/1/89,40046
10/1/89,40015
1/1/90,40361
4/1/90,40382
7/1/90,40266
10/1/90,39759
1/1/91,39451
4/1/91,39632
7/1/91,39691
10/1/91,39694
1/1/92,40051
4/1/92,40350
7/1/92,40599
10/1/92,40881
1/1/93,40829
4/1/93,40942
7/1/93,40997
10/1/93,41423
1/1/94,41713
4/1/94,42154
7/1/94,42264
10/1/94,42618
1/1/95,42654
4/1/95,42660
7/1/95,42885
10/1/95,43044
1/1/96,43259
4/1/96,43856
7/1/96,44105
10/1/96,44421
1/1/97,44590
4/1/97,45203
7/1/97,45616
10/1/97,45862
1/1/98,46204
4/1/98,46504
7/1/98,46943
10/1/98,47555
1/1/99,47880
4/1/99,48148
7/1/99,48632
10/1/99,49281
1/1/00,49335
4/1/00,50109
7/1/00,50024
10/1/00,50190
1/1/01,49911
4/1/01,50105
7/1/01,49774
10/1/01,49783
1/1/02,50091
4/1/02,50286
7/1/02,50362
10/1/02,50302
1/1/03,50462
4/1/03,50796
7/1/03,51512
10/1/03,51986
1/1/04,52179
4/1/04,52469
7/1/04,52835
10/1/04,53242
1/1/05,53719
4/1/05,53868
7/1/05,54153
10/1/05,54317
1/1/06,54927
4/1/06,54945
7/1/06,54886
10/1/06,55216
1/1/07,55260
4/1/07,55474
7/1/07,55649
10/1/07,55857
1/1/08,55497
4/1/08,55705
7/1/08,55278
10/1/08,53941
1/1/09,53221
4/1/09,53017
7/1/09,53081
10/1/09,53531
1/1/10,53683
4/1/10,54100
7/1/10,54401
10/1/10,54569
1/1/11,54341
4/1/11,54610
7/1/11,54482
10/1/11,54979
1/1/12,55342
4/1/12,55490
7/1/12,55454
10/1/12,55403
1/1/13,55859
4/1/13,55914
7/1/13,56272
10/1/13,56642
1/1/14,56345
4/1/14,56968
7/1/14,57536
10/1/14,57702
1/1/15,58121
4/1/15,58376
7/1/15,58486
10/1/15,58470
1/1/16,58704
4/1/16,58787
7/1/16,59084
10/1/16,59296
1/1/17,59494
4/1/17,59736
7/1/17,60099
10/1/17,60674
1/1/18,61093
4/1/18,61336
7/1/18,61622
10/1/18,61619
1/1/19,61889
4/1/19,62331
7/1/19,62945
10/1/19,63257
1/1/20,62333
4/1/20,57383
7/1/20,61803
10/1/20,62411
1/1/21,63224
4/1/21,64153
7/1/21,64611
10/1/21,65648
1/1/22,65284
4/1/22,65127
7/1/22,65469
10/1/22,65799
1/1/23,66096
4/1/23,66357
7/1/23,67050
10/1/23,67513
1/1/24,67702